TABLE NUMBER AND CONTENTS,DATA DICTIONARY REFERENCE NAME,DATA SEGMENT,MAX SIZE,DATA TYPE,NOTES
File Identification,FILEID,02,6,A/N,
State/US-Abbreviation (USPS),STUSAB,02,2,A,
Characteristic Iteration,CHARITER,02,3,A/N,
Characteristic Iteration File Sequence Number,CIFSN,02,2,A/N,
Logical Record Number,LOGRECNO,02,7,N,
Total:,P0030001,02,9,N,P3. RACE FOR THE POPULATION 18 YEARS AND OVER [71]
Population of one race:,P0030002,02,9,N,Universe: Total population 18 years and over
White alone,P0030003,02,9,N,
Black or African American alone,P0030004,02,9,N,
American Indian and Alaska Native alone,P0030005,02,9,N,
Asian alone,P0030006,02,9,N,
Native Hawaiian and Other Pacific Islander alone,P0030007,02,9,N,
Some Other Race alone,P0030008,02,9,N,
Population of two or more races:,P0030009,02,9,N,
Population of two races:,P0030010,02,9,N,
White; Black or African American,P0030011,02,9,N,
White; American Indian and Alaska Native,P0030012,02,9,N,
White; Asian,P0030013,02,9,N,
White; Native Hawaiian and Other Pacific Islander,P0030014,02,9,N,
White; Some Other Race,P0030015,02,9,N,
Black or African American; American Indian and Alaska Native,P0030016,02,9,N,
Black or African American; Asian,P0030017,02,9,N,
Black or African American; Native Hawaiian and Other Pacific Islander,P0030018,02,9,N,
Black or African American; Some Other Race,P0030019,02,9,N,
American Indian and Alaska Native; Asian,P0030020,02,9,N,
American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0030021,02,9,N,
American Indian and Alaska Native; Some Other Race,P0030022,02,9,N,
Asian; Native Hawaiian and Other Pacific Islander,P0030023,02,9,N,
Asian; Some Other Race,P0030024,02,9,N,
Native Hawaiian and Other Pacific Islander; Some Other Race,P0030025,02,9,N,
Population of three races:,P0030026,02,9,N,
White; Black or African American; American Indian and Alaska Native,P0030027,02,9,N,
White; Black or African American; Asian,P0030028,02,9,N,
White; Black or African American; Native Hawaiian and Other Pacific Islander,P0030029,02,9,N,
White; Black or African American; Some Other Race,P0030030,02,9,N,
White; American Indian and Alaska Native; Asian,P0030031,02,9,N,
White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0030032,02,9,N,
White; American Indian and Alaska Native; Some Other Race,P0030033,02,9,N,
White; Asian; Native Hawaiian and Other Pacific Islander,P0030034,02,9,N,
White; Asian; Some Other Race,P0030035,02,9,N,
White; Native Hawaiian and Other Pacific Islander; Some Other Race,P0030036,02,9,N,
Black or African American; American Indian and Alaska Native; Asian,P0030037,02,9,N,
